Country,Date_confirmation,New_infected,Total_infected
Greece,2022-06-08,1,1
Greece,2022-06-09,0,1
Greece,2022-06-10,0,1
Greece,2022-06-11,0,1
Greece,2022-06-12,0,1
Greece,2022-06-13,0,1
Greece,2022-06-14,0,1
Greece,2022-06-15,1,2
Greece,2022-06-16,0,2
Greece,2022-06-17,0,2
Greece,2022-06-18,0,2
Greece,2022-06-19,0,2
Greece,2022-06-20,0,2
Greece,2022-06-21,0,2
Greece,2022-06-22,1,3
Greece,2022-06-23,0,3
Greece,2022-06-24,0,3
Greece,2022-06-25,0,3
Greece,2022-06-26,0,3
Greece,2022-06-27,0,3
Greece,2022-06-28,0,3
Greece,2022-06-29,0,3
Greece,2022-06-30,0,3
Greece,2022-07-01,0,3
Greece,2022-07-02,0,3
