Country,Date_confirmation,New_infected,Total_infected
Finland,2022-05-27,1,1
Finland,2022-05-28,0,1
Finland,2022-05-29,0,1
Finland,2022-05-30,0,1
Finland,2022-05-31,0,1
Finland,2022-06-01,0,1
Finland,2022-06-02,1,2
Finland,2022-06-03,0,2
Finland,2022-06-04,0,2
Finland,2022-06-05,0,2
Finland,2022-06-06,0,2
Finland,2022-06-07,0,2
Finland,2022-06-08,0,2
Finland,2022-06-09,1,3
Finland,2022-06-10,0,3
Finland,2022-06-11,0,3
Finland,2022-06-12,0,3
Finland,2022-06-13,0,3
Finland,2022-06-14,0,3
Finland,2022-06-15,0,3
Finland,2022-06-16,0,3
Finland,2022-06-17,1,4
Finland,2022-06-18,0,4
Finland,2022-06-19,0,4
Finland,2022-06-20,0,4
Finland,2022-06-21,0,4
Finland,2022-06-22,0,4
Finland,2022-06-23,0,4
Finland,2022-06-24,0,4
Finland,2022-06-25,0,4
Finland,2022-06-26,0,4
Finland,2022-06-27,0,4
Finland,2022-06-28,0,4
Finland,2022-06-29,0,4
Finland,2022-06-30,0,4
Finland,2022-07-01,0,4
